key,en,fr
data:fatalities due to road traffic accidents,Fatalities due to road traffic accidents,
data:fatalities due to road traffic accidents (per 100 000 inhabitants),Fatalities due to road traffic accidents,
"data:federal budget on research and development in the field of coastal, ocean and polar science, geoscience","Federal budget on research and development in the field of coastal, ocean and polar science, geoscience",
"data:federal budget on research and development in the field of coastal, ocean and polar science, geoscience (mn eur)","Federal budget on research and development in the field of coastal, ocean and polar science, geoscience",
data:female,Female,
data:female employees in public sector,Female employees in public sector,
data:female employees in public sector (%),Female employees in public sector,
data:female victims of criminal offences having/ had a intimate relationship with the suspect,Female victims of criminal offences having/ had a intimate relationship with the suspect,
data:female victims of criminal offences having/ had a intimate relationship with the suspect (number),Female victims of criminal offences having/ had a intimate relationship with the suspect,
data:final energy consumption for the carriage of goods,Final energy consumption for the carriage of goods,
data:final energy consumption in freight transport,Final energy consumption in freight transport,
data:final energy consumption in passenger transport,Final energy consumption in passenger transport,
data:final energy consumption per passenger-kilometre,Final energy consumption per passenger-kilometre,
data:final energy consumption per tonne-kilometre,Final energy consumption per tonne-kilometre,
data:final energy productivity and primary energy consumption,Final energy productivity and primary energy consumption,
data:fish stocks within biologically sustainable levels,Fish stocks within biologically sustainable levels,
data:fish stocks within biologically sustainable levels (%),Fish stocks within biologically sustainable levels,
data:fixed internet broadband access lines,Fixed internet broadband access lines,
data:fixed internet broadband access lines (per 100 inhabitants),Fixed internet broadband access lines,
data:flowing water bodies,Flowing water bodies,
data:foreign school graduates,Foreign school graduates,
data:forest area,Forest area,
data:forest area (%),Forest area,
data:forest area located within protected areas,Forest area located within protected areas,
data:forest area net change rate,Forest area net change rate,
data:forest area under an independently verified forest management certification scheme,Forest area under an independently verified forest management certification scheme,
data:form of exploitation,Form of exploitation,
data:fraud,Fraud,
data:freight transport,b) Freight transport,
data:funding balance (share of gross domestic product (at current prices) in %),Funding balance (share of gross domestic product (at current prices)),
data:funding balance and structural governmental funding balance,Funding balance and structural governmental funding balance,
data:g) basic handwashing facilities (as per the wash indicator definitions),g) basic handwashing facilities,
data:g/eur,g/EUR,
data:g/eur (constant 2010),g/EUR (constant 2010),
data:gender parity index of,Gender Parity Index of,
data:gender pay gap,Gender Pay Gap,
data:generation of renewable energies relative to gross final energy consumption,Generation of renewable energies relative to gross final energy consumption,
data:german funding primarily to developing and emerging countries for climate protection,German funding primarily to developing and emerging countries for climate protection,
data:german school graduates (share of all german leavers),German school graduates (share of all german leavers),
data:germany,Germany,
data:gini coefficient of equivalised income before social transfers,Gini coefficient of equivalised income before social transfers,
data:girls,Girls,
data:girls and women reached by the vocational qualification programmes of  german development cooperation,Girls and women reached by the vocational qualification programmes of  german development cooperation,
data:giving birth between 10 to under 15 years,Giving birth between 10 to under 15 years,
data:giving birth between 10 to under 15 years (per 1 000 women of same age),Giving birth between 10 to under 15 years,
data:giving birth between 15 to under 20 years,Giving birth between 15 to under 20 years,
data:giving birth between 15 to under 20 years (per 1 000 women of same age),Giving birth between 15 to under 20 years,
data:goods transport performance,Goods transport performance,
data:goss fixed capital formation,Gross fixed capital formation,
data:goverment spending on environmental protection (cofog section 5),Goverment spending on environmental protection (COFOG section 5),
data:goverment spending on environmental protection (cofog section 5) (%),Goverment spending on environmental protection (COFOG section 5),
"data:goverment spending on recreation, culture and religion (cofog section 8)","Goverment spending on recreation, culture and religion (COFOG section 8)",
"data:goverment spending on recreation, culture and religion (cofog section 8) (%)","Goverment spending on recreation, culture and religion (COFOG section 8)",
data:government fiscal balance,Government fiscal balance,
data:government spending on foreign economic aid (cofog group 01-2),Government spending on foreign economic aid (COFOG group 01.2),
data:government spending on foreign economic aid (cofog group 01-2) (%),Government spending on foreign economic aid (COFOG group 01.2),
data:greater north sea,Greater North Sea,
data:greenhouse gas emissions in co2 equivalents,Greenhouse gas emissions in CO<sub>2</sub> equivalents,
data:gross domestic product per capita,Gross domestic product per capita,
data:gross domestic produkt (price-adjusted) (year-on-year changes in %),Gross domestic produkt (price-adjusted) (year-on-year changes),
data:gross value added of high-tech industries to total manufacturing value added,Gross value added of high-tech industries to total manufacturing value added,
data:gross value added of high-tech industries to total manufacturing value added (%),Gross value added of high-tech industries to total manufacturing value added,
data:gross value added of medium- and high-tech industries to total manufacturing value added,Gross value added of medium- and high-tech industries to total manufacturing value added,
data:gross value added of medium- and high-tech industries to total manufacturing value added (%),Gross value added of medium- and high-tech industries to total manufacturing value added,
data:gross value added of medium-high-tech industries to total manufacturing value added,Gross value added of medium-high-tech industries to total manufacturing value added,
data:gross value added of medium-high-tech industries to total manufacturing value added (%),Gross value added of medium-high-tech industries to total manufacturing value added,
data:gross value added of small-scale industries in manufacturing,Gross value added of small-scale industries in manufacturing,
data:gross value added of small-scale industries in manufacturing (%),Gross value added of small-scale industries in manufacturing,
data:growth rate of income of the bottom 40 per cent of the population,Growth rate of income of the bottom 40 per cent of the population,
data:growth rate of income of the bottom 40 per cent of the population (%),Growth rate of income of the bottom 40 per cent of the population,
data:growth rate of income of the total population,Growth rate of income of the total population,
data:growth rate of income of the total population (%),Growth rate of income of the total population,
data:ha/d,hectares per day (ha/d),
data:hamburg,Hamburg,
data:hb,Bremen,
data:he,Hesse,
data:health workers,Health workers,
data:health workers - practising concept,Health workers - Practising concept,
data:health workers - practising concept (per 10 000 inhabitants),Health workers - Practising concept,
data:hepatitis b incidence,Hepatitis B incidence,
data:hepatitis b incidence (per 100 000 inhabitants),Hepatitis B incidence,
data:hesse,Hesse,
data:hh,Hamburg,
data:hiv incidence,HIV incidence,
data:hiv incidence (per 1 000 inhabitants),HIV incidence,
data:hours worked by employees,Hours worked by employees,
data:hours worked by persons employed,Hours worked by persons employed,
data:households and small-sized enterprises connected to the electricity network,Households and small-sized enterprises connected to the electricity network,
data:households covered by (%):,Households covered by a mobile network,
data:households covered by:,Households covered by:,
data:imports from ldcs,Imports from LDCs,
data:imports from the least developed countries (ldcs),Imports from the least developed countries (LDCs),
data:imports of processed products from ldcs,Imports of processed products from LDCs,
data:incineration,incineration,
data:income,Income or wealth quantile,
data:index,Index,
data:index overall,Index overall,
data:indicator,Indicator,
data:infant mortality rate (under 1 year),Infant mortality rate (under 1 year),
data:infant mortality rate (under 1 year) (per 1 000 live births),Infant mortality rate (under 1 year),
data:inhabitans per square kilometre of settlement and transport area,Inhabitans per square kilometre of settlement and transport area,
data:inland waterway transport,Inland waterway transport,
data:inpatient treatment of alcohol dependence,Inpatient treatment of alcohol dependence,
data:inpatient treatment of alcohol dependence (1 000),Inpatient treatment of alcohol dependence,
data:inpatient treatment of dependence syndrom due to psychoactive substance use,Inpatient treatment of dependence syndrom due to psychoactive substance use,
data:inpatient treatment of dependence syndrom due to psychoactive substance use (1 000),Inpatient treatment of dependence syndrom due to psychoactive substance use,
data:installing software or apps,Installing software or apps,
data:intestinal nematode infections,intestinal nematode infections,
data:items,Items,
data:key biodiversity areas (kbas) covered by protected areas,Key Biodiversity Areas (KBAs) covered by protected areas,
data:key biodiversity areas (kbas) covered by protected areas (%),Key Biodiversity Areas (KBAs) covered by protected areas,
data:kg per capita,kg per capita,
data:kg/ha,Kilograms per hectare (kg/ha),
data:labour productivity in agriculture,Labour productivity in agriculture,
data:labour productivity in agriculture (2010 = 100),Labour productivity in agriculture,
data:labour productivity in forestry,Labour productivity in forestry,
data:labour productivity in forestry (2010 = 100),Labour productivity in forestry,
data:labour productivity per hour worked by employee,Labour productivity per hour worked by employee,
data:labour productivity per hour worked by persons employed,Labour productivity per hour worked by persons employed,
data:labour share of gdp,Labour share of GDP,
data:labour share of gdp (%),Labour share of GDP,
data:land consumption rate,Land consumption rate,
"data:legal frameworks that promote, enforce and monitor gender equality regarding (%):","Legal frameworks that promote, enforce and monitor gender equality regarding:",
"data:legal frameworks that promote, enforce and monitor gender equality regarding:","Legal frameworks that promote, enforce and monitor gender equality regarding:",
data:level of proficiency,Level of proficiency,
data:level of risk of extinction,Level of risk of extinction,
data:level of risk of extinction (%),Level of risk of extinction,
data:level of risk of extinction (according to fao classification),Level of risk of extinction (according to FAO classification),
data:level of risk of extinction (according to fao classification) (%),Level of risk of extinction (according to FAO classification),
data:level of risk of extinction (according to national classification),Level of risk of extinction (according to national classification),
data:level of risk of extinction (according to national classification) (%),Level of risk of extinction (according to national classification),
data:level of water stress (%):,Level of water stress,
data:level of water stress:,Level of water stress,
data:level of waterstress,Level of waterstress,
data:liquid assets to short-term liabilities,Liquid assets to short-term liabilities,
data:liquid assets to short-term liabilities (%),Liquid assets to short-term liabilities,
data:litres of pure alcohol per capita,Litres of pure alcohol per capita,
data:live births in hospitals,Live births in hospitals,
data:live births in hospitals (%),Live births in hospitals,
"data:local livestock breeds (horses, cows, pigs, sheep and goats)","Local livestock breeds (horses, cows, pigs, sheep and goats)",
"data:local livestock breeds (horses, cows, pigs, sheep and goats) (number)","Local livestock breeds (horses, cows, pigs, sheep and goats)",
data:lower saxony,Lower Saxony,
data:lte,LTE,
data:m2/(inhabitant*a),m<sup>2</sup>/(inhabitant*a),
data:malaria incidence,Malaria incidence,
data:malaria incidence (per 1 000 inhabitants),Malaria incidence,
data:male,Male,
data:male and female,Both sexes,
data:manufacturing gross value added as a proportion of gdp,Manufacturing gross value added as a proportion of GDP,
data:manufacturing gross value added as a proportion of gdp (%),Manufacturing gross value added as a proportion of GDP,
data:manufacturing gross value added as a proportion of total gross value added,Manufacturing gross value added as a proportion of total gross value added,
data:manufacturing gross value added as a proportion of total gross value added (%),Manufacturing gross value added as a proportion of total gross value added,
data:manufacturing gross value added per capita,Manufacturing gross value added per capita,
data:manufacturing gross value added per capita (eur),Manufacturing gross value added per capita,
data:manufacturing persons employed,Manufacturing persons employed,
data:manufacturing persons employed (%),Manufacturing persons employed,
data:marine key biodiversity areas (kbas) covered by protected areas,Marine Key Biodiversity Areas (KBAs) covered by protected areas,
data:marine key biodiversity areas (kbas) covered by protected areas (%),Marine Key Biodiversity Areas (KBAs) covered by protected areas,
data:market share of products certified by independently verified sustainability labelling schemes,Market share of products certified by independently verified sustainability labelling schemes,
data:marriage and family,marriage and family,
data:married girls under 15 years,Married girls under 15 years,
data:married girls under 18 years,Married girls under 18 years,
data:material deprivation for the housing dimension (one to four items),Material deprivation for the housing dimension (one to four items),
data:material deprivation for the housing dimension (one to four items) (%),Material deprivation for the housing dimension (one to four items),
data:maternal mortality,Maternal mortality,
data:maternal mortality (per 100 000 live births),Maternal mortality,
data:mathematics,mathematics,
data:mecklenburg western pomerania,Mecklenburg Western Pomerania,
data:membership ganhri (category a),Membership GANHRI (category A),
data:membership ganhri (category a) (number),Membership GANHRI (category A),
data:mg/l,Milligrams per litre (mg/l),
data:micrograms per cubic meter,Micrograms per cubic meter,
data:min.,Minutes,
data:minimum requirement level i,minimum requirement level I,
data:minimum requirement level ii,minimum requirement level II,
data:mio.,Millions,
data:mio. eur,Millions of euros (Mn €),
data:mj/eur,MJ/EUR,
data:mn eur,Mn EUR,
data:mn h,Mn h,
data:mn pkm,Mn pkm,
data:mn t,Mn t,
data:mn tkm,Mn tkm,
"data:mn usd, constant prices (2016)","Mn USD, constant prices (2016)",
data:mobility impaired people,Mobility impaired people,
data:mode of transport,Mode of transport,
data:monitored fish stocks based on the msy approach that are professionally exploited,Monitored fish stocks based on the MSY approach that are professionally exploited,
data:monitored fish stocks based on the msy approach that are professionally exploited (%),Monitored fish stocks based on the MSY approach that are professionally exploited,
data:mortality rate attributed to,Mortality rate attributed to,
data:mortality rate attributed to (per 100 000 inhabitants),Mortality rate attributed to,
data:mortality rate attributed to unintentional poisoning,Mortality rate attributed to unintentional poisoning,
data:mortality rate attributed to unintentional poisoning (per 100 000 inhabitants),Mortality rate attributed to unintentional poisoning,
data:mortality rate of persons aged 30 to under 70 years attributed to,Mortality rate of persons aged 30 to under 70 years attributed to,
data:mortality rate of persons aged 30 to under 70 years attributed to (1 000),Mortality rate of persons aged 30 to under 70 years attributed to,
data:motorised private transport,Motorised private transport,
data:mountain green cover index,Mountain Green Cover Index,
data:mountain green cover index (%),Mountain Green Cover Index,
"data:moving five-year average, referring to the middle year","Moving five-year average, referring to the middle year",
data:municipal solid waste regularly collected and treated,Municipal solid waste regularly collected and treated,
data:municipal waste recycled,Municipal waste recycled,
data:mv,Mecklenburg Western Pomerania,
data:national recycling rate of municipal waste,National recycling rate of municipal waste,
data:national sustainable development strategie,National Sustainable Development Strategie,
data:national sustainable development strategie (number),National Sustainable Development Strategie,
data:neonatal mortality rate,Neonatal mortality rate,
data:neonatal mortality rate (per 1 000 live births),Neonatal mortality rate,
data:net open position in foreign exchange to capital,Net open position in foreign exchange to capital,
data:net open position in foreign exchange to capital (%),Net open position in foreign exchange to capital,
data:nh3,NH<sub>3</sub>,
data:ni,Lower Saxony,
data:nitrate in groundwater,Nitrate in groundwater,
data:nitrogen surplus in land used for agriculture,Nitrogen surplus in land used for agriculture,
data:nmvoc,NMVOC,
data:non-fatal occupational accidents,Non-fatal occupational accidents,
data:non-fatal occupational accidents (per 100 000 employees),Non-fatal occupational accidents,
data:non-rural areas,Non-rural areas,
data:nondisabled,Persons without disability,
data:nonperforming loans net of provisions to capital,Nonperforming loans net of provisions to capital,
data:nonperforming loans net of provisions to capital (%),Nonperforming loans net of provisions to capital,
data:nonperforming loans net of provisions to gross loans,Nonperforming loans net of provisions to gross loans,
data:nonperforming loans net of provisions to gross loans (%),Nonperforming loans net of provisions to gross loans,
data:north rhine-westphalia,North Rhine-Westphalia,
data:north sea,North sea,
data:nox,NO<sub>x</sub>,
data:number,Number,
data:number of partner countries of german development cooperation whose rating has improved compared with 2012,Number of partner countries of german development cooperation whose rating has improved compared with 2012,
"data:number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world","Number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",
data:nw,North Rhine-Westphalia,
data:obese,Obese,
data:occupation,Occupation,
"data:oda (commitments) for biodiversity (mn usd, constant prices (2016))",ODA (gross disbursements) to the forestry sector,
data:oda (gross disbursements) for imputed student costs,ODA (gross disbursements) for imputed student costs,
"data:oda (gross disbursements) for imputed student costs (mn usd, constant prices (2016))",ODA (gross disbursements) for imputed student costs,
"data:oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",ODA (gross disbursements) for other related water and sanitation purposes,
data:oda (gross disbursements) for scholarships,ODA (gross disbursements) for scholarships,
"data:oda (gross disbursements) for scholarships (mn usd, constant prices (2016))",ODA (gross disbursements) for scholarships,
"data:oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",ODA (gross disbursements) for water and sanitation,
data:oda (gross disbursements) to infrastructure,ODA (gross disbursements) to infrastructure,
"data:oda (gross disbursements) to infrastructure (mn usd, constant prices (2016))",ODA (gross disbursements) to infrastructure,
data:oda (gross disbursements) to medical research and basic health sectors,ODA (gross disbursements) to medical research and basic health sectors,
"data:oda (gross disbursements) to medical research and basic health sectors (mn usd, constant prices (2016))",ODA (gross disbursements) to medical research and basic health sectors,
data:oda (gross disbursements) to the agriculture sector,ODA (gross disbursements) to the agriculture sector,
"data:oda (gross disbursements) to the agriculture sector (mn usd, constant prices (2016))",ODA (gross disbursements) to the agriculture sector,
"data:oda (gross disbursements) to the forestry sector (mn usd, constant prices (2016))",ODA (commitments) for biodiversity,
data:oda (net disbursements),ODA (net disbursements),
data:oda and oof (commitments) of all resources made available to strengthen statistical capacity in developing countries,ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries,
"data:oda and oof (commitments) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices (2016))",ODA and OOF (commitments) of all resources made available to strengthen statistical capacity in developing countries,
data:oda and oof (commitments) to developing countries for capacity building and national planning (without south-south cooperation),ODA and OOF (commitments) to developing countries for capacity building and national planning (without South-South cooperation),
"data:oda and oof (commitments) to developing countries for capacity building and national planning (without south-south cooperation) (mn usd, constant prices (2016))",ODA and OOF (commitments) to developing countries for capacity building and national planning (without South-South cooperation),
data:oda and oof (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries,ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries,
"data:oda and oof (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries (mn usd, constant prices (2016))",ODA and OOF (gross disbursements) of all resources made available to strengthen statistical capacity in developing countries,
data:oda and oof (gross disbursements) to developing countries for capacity building and national planning (without south-south cooperation),ODA and OOF (gross disbursements) to developing countries for capacity building and national planning (without South-South cooperation),
"data:oda and oof (gross disbursements) to developing countries for capacity building and national planning (without south-south cooperation) (mn usd, constant prices (2016))",ODA and OOF (gross disbursements) to developing countries for capacity building and national planning (without South-South cooperation),
data:oda and oof (gross disbursements) to infrastructure,ODA and OOF (gross disbursements) to infrastructure,
"data:oda and oof (gross disbursements) to infrastructure (mn usd, constant prices (2016))",ODA and OOF (gross disbursements) to infrastructure,
data:official development assistance to support good governance for food security,Official development assistance to support good governance for food security,
data:officially supported export credits (net disbursements),Officially Supported Export Credits (net disbursements),
data:online accounts,Online accounts,
data:oof (net disbursements),OOF (net disbursements),
data:open water bodies,Open water bodies,
data:organically farmed agricultural land,Organically farmed agricultural land,
data:organisations with emas registration,Organisations with EMAS registration,
data:organisations with emas registration (number),Organisations with EMAS registration,
data:other,Other,
data:other criminal offences,Other criminal offences,
data:other wastewater that does not have to undergo treatment,Other wastewater that does not have to undergo treatment,
data:overarching legal frameworks and public life,overarching legal frameworks and public life,
data:overweight,Total (Overweight including obese),
data:overweight among children under the age of 5 years,Overweight among children under the age of 5 years,
data:overweight among children under the age of 5 years (%),Overweight among children under the age of 5 years,
data:participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months,Participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months,
data:participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months (%),Participation rate of 15 to under 25 years old persons in formal and non-formal education and training in the previous 12 months,
data:participation rate of adults in formal and non-formal education and training in the previous 12 months,Participation rate of adults in formal and non-formal education and training in the previous 12 months,
data:participation rate of adults in formal and non-formal education and training in the previous 12 months (%),Participation rate of adults in formal and non-formal education and training in the previous 12 months,
"data:particulate matter exposure (pm10), of at least 20 micro-g per m3 air on average per year","Particulate matter exposure (pm10), of at least 20 micro-g per m<sup>3</sup> air on average per year",
data:partnership for sustainable textiles,Partnership for sustainable textiles,
data:passenger transport,a) Passenger transport,
data:passenger transport performance,Passenger transport performance,
data:payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,Payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,
data:penetration rate mobile communication (related to the population),Penetration rate mobile communication (related to the population),
data:penetration rate mobile communication (related to the population) (%),Penetration rate mobile communication (related to the population),
data:per 1 000 inhabitants,Per 1 000 inhabitants,
data:per 1 000 live births,Per 1 000 live births,
data:per 1 000 women of same age,Per 1 000 women of same age,
data:per 1 mn inhabitants,Per 1 Mn inhabitants,
data:per 10 000 inhabitants,Per 10 000 inhabitants,
data:per 100 000 adults,per 100 000 adults,
data:per 100 000 employees,Per 100 000 employees,
data:per 100 000 inhabitants,Per 100 000 inhabitants,
data:per 100 000 live births,Per 100 000 live births,
data:per 100 inhabitants,Per 100 inhabitants,
data:percent,Percent,
data:percentage,percentage,
data:percentage (%),Percentage (%),
data:persons (10 years and older) with computer-related activities in the last 12 months,Persons (10 years and older) with computer-related activities in the last 12 months,
data:persons (10 years and older) with computer-related activities in the last 12 months (%),Persons (10 years and older) with computer-related activities in the last 12 months,
data:persons employed,Persons employed,
data:persons employed in accommodation,Persons employed in accommodation,
data:persons employed in accommodation (1 000),Persons employed in accommodation,
data:persons employed in tourism industries,Persons employed in tourism industries,
data:persons employed in tourism industries (1 000),Persons employed in tourism industries,
data:ph-value,ph-value,
data:phosphorous in flowing waters,Phosphorous in flowing waters,
data:plant genetic resources,Plant genetic resources,
data:plant genetic resources (number),Plant genetic resources,
data:pm2.5,PM<sub>2.5</sub>,
data:population connected to the public water supply system,Population connected to the public water supply system,
data:population connected to the public water supply system (%),Population connected to the public water supply system,
data:population considering their dwelling as too dark,Population considering their dwelling as too dark,
data:population covered by health insurance,Population covered by health insurance,
data:population covered by health insurance (%),Population covered by health insurance,
data:population growth rate,Population growth rate,
data:population living below 50% of median income,Population living below 50% of median income,
data:population living below 50% of median income (%),Population living below 50% of median income,
"data:population living in an area with crime, violence or vandalism","Population living in an area with crime, violence or vandalism",
data:population living in an area with noise pollution,Population living in an area with noise pollution,
data:population living in households with moisture damages,Population living in households with moisture damages,
"data:population not living in an area with crime, violence or vandalism","Population not living in an area with crime, violence or vandalism",
"data:population not living in an area with crime, violence or vandalism (%)","Population not living in an area with crime, violence or vandalism",
data:population satisfied with their experience of government services during the previous two years,Population satisfied with their experience of government services during the previous two years,
data:population satisfied with their experience of government services during the previous two years (%),Population satisfied with their experience of government services during the previous two years,
data:population subjected to physical violence,Population subjected to physical violence,
data:population that has convenient access to public transport (within 10 minutes walking distance),Population that has convenient access to public transport (within 10 minutes walking distance),
data:population that has convenient access to public transport (within 10 minutes walking distance) (%),Population that has convenient access to public transport (within 10 minutes walking distance),
data:population that has convenient access to public transport (within 500 meters),Population that has convenient access to public transport (within 500 meters),
data:population that has convenient access to public transport (within 500 meters) (%),Population that has convenient access to public transport (within 500 meters),
data:population using safely managed drinking water services,Population using safely managed drinking water services,
data:population using safely managed drinking water services (%),Population using safely managed drinking water services,
data:population using the internet in the last three months,Population using the internet in the last three months,
data:population using the internet in the last three months (%),Population using the internet in the last three months,
data:population weighted annual mean levels of pm10,Population weighted annual mean levels of PM10,
data:population weighted annual mean levels of pm10 (micrograms per cubic meter),Population weighted annual mean levels of PM10,
data:population weighted annual mean levels of pm10 (ug/m3),Population weighted annual mean levels of PM10,
data:population who considers their experiences with public agencies free of discrimination during the previous two years,Population who considers their experiences with public agencies free of discrimination during the previous two years,
data:population who considers their experiences with public agencies free of discrimination during the previous two years (%),Population who considers their experiences with public agencies free of discrimination during the previous two years,
data:population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),Population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),
data:population who were victims of criminal offences,Population who were victims of criminal offences,
data:population with access to electricity,Population with access to electricity,
data:premature mortality,Premature mortality,
data:primary,Primary education,
data:private and public spending on research and development,Private and public spending on research and development,
data:private concessional flows (net disbursements),Private Concessional Flows (net disbursements),
data:private households with at least one mobile phone,Private households with at least one mobile phone,
data:private households with at least one mobile phone (%),Private households with at least one mobile phone,
data:private persons (donors) suspected in the context of corruption offences,Private persons (donors) suspected in the context of corruption offences,
data:private sector flows at market terms (net disbursements),Private Sector Flows at market terms (net disbursements),
data:profession,Profession,
data:proportion of bilateral and imputed multilateral net oda for ldcs to the gni,Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,
data:proportion of bilateral and imputed multilateral net oda for ldcs to the gni (%),Proportion of bilateral and imputed multilateral net ODA for LDCs to the GNI,
data:proportion of domestic expenditures funded by national taxes,Proportion of domestic expenditures funded by national taxes,
data:proportion of domestic expenditures funded by national taxes (%),Proportion of domestic expenditures funded by national taxes,
data:proportion of domestic expenditures funded by national taxes and insurance contributions,Proportion of domestic expenditures funded by national taxes and insurance contributions,
data:proportion of domestic expenditures funded by national taxes and insurance contributions (%),Proportion of domestic expenditures funded by national taxes and insurance contributions,
data:proportion of msy examined in all managed stocks,Proportion of MSY examined in all managed stocks,
data:proportion of net oda to gni,Proportion of net ODA to GNI,
data:proportion of net oda to gni (%),Proportion of net ODA to GNI,
data:proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation,Proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation,
data:proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation (%),Proportion of new development interventions drawn from country-led result frameworks by providers of development cooperation,
data:proportion of organic farming area to agricultural area in total,Proportion of organic farming area to agricultural area in total,
data:proportion of r&d expenditures to gdp,Proportion of R&D expenditures to GDP,
data:proportion of r&d expenditures to gdp (%),Proportion of R&D expenditures to GDP,
data:proportion of results indicators drawn from country-led results frameworks by providers of development cooperation,Proportion of results indicators drawn from country-led results frameworks by providers of development cooperation,
data:proportion of results indicators drawn from country-led results frameworks by providers of development cooperation (%),Proportion of results indicators drawn from country-led results frameworks by providers of development cooperation,
data:proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation,Proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation,
data:proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation (%),Proportion of results indicators which will be monitored using government sources and monitoring systems by providers of development cooperation,
data:proportion of settlement and transport areas to population,Proportion of settlement and transport areas to population,
data:proportion of sustainable managed stocks in all msy examined stocks,Proportion of sustainable managed stocks in all MSY examined stocks,
data:proportion of total government revenue to gdp,Proportion of total government revenue to GDP,
data:proportion of total government revenue to gdp (%),Proportion of total government revenue to GDP,
data:protected marine area,Protected marine area,
data:protected marine area (%),Protected marine area,
data:protected terrestrial areas,Protected terrestrial areas,
data:protected terrestrial areas (%),Protected terrestrial areas,
data:protein-energy malnutrition,protein-energy malnutrition,
data:public access to information,Public access to information,
data:public access to information (number),Public access to information,
data:public debt,public debt,
data:quintile1,Quintile 1,
data:quintile2,Quintile 2,
data:quintile3,Quintile 3,
data:quintile4,Quintile 4,
data:quintile5,Quintile 5,
data:rail transport,Rail transport,
data:rating for germany,Rating for germany,
data:ratio,Ratio,
data:ratio of land consumption rate to population growth rate,Ratio of land consumption rate to population growth rate,
data:raw material input productivity,Raw material input productivity,
"data:raw material use for consumption, investments and exports","Raw material use for consumption, investments and exports",
data:reading,reading,
data:real gdp per capita,Real GDP per capita,
data:recovery other than energy recovery,recovery other than energy recovery,
"data:recreation area, cemeteries","Recreation area, cemeteries",
data:recycled paper bearing the blue angel label as a proportion of the total paper consumption of the federal administration,Recycled paper bearing the blue angel label as a proportion of the total paper consumption of the federal administration,
data:red list index,Red List Index,
data:red list index (%),Red List Index,
data:region,Federal state,
data:regulatory tier 1 capital to risk-weighted assets,Regulatory Tier 1 capital to risk-weighted assets,
data:regulatory tier 1 capital to risk-weighted assets (%),Regulatory Tier 1 capital to risk-weighted assets,
data:renewable energy share in gross final energy consumption (according to national definition),Renewable energy share in gross final energy consumption (according to national definition),
data:renewable energy share in gross final energy consumption (according to national definition) (%),Renewable energy share in gross final energy consumption (according to national definition),
data:renewable energy share in total final energy consumption (according to un definition),Renewable energy share in total final energy consumption (according to UN definition),
data:renewable energy share in total final energy consumption (according to un definition) (%),Renewable energy share in total final energy consumption (according to UN definition),
data:researchers from ldcs,Researchers from LDCs,
data:researchers from other developing and emerging countries,Researchers from other developing and emerging countries,
data:researchers in full-time equivalents,Researchers in full-time equivalents,
data:researchers in full-time equivalents (per 1 mn inhabitants),Researchers in full-time equivalents,
data:responsible public procurement,Responsible public procurement,
data:return on assets,Return on assets,
data:return on assets (%),Return on assets,
data:rhineland palatinate,Rhineland Palatinate,
data:river water bodies,River water bodies,
data:rmc (abiotic and biotic material),RMC (abiotic and biotic material),
data:rmc per capita,RMC per capita,
data:rmc per real gdp,RMC per real GDP,
data:road transport,Road transport,
data:rp,Rhineland Palatinate,
data:rural,Rural,
data:rural areas,Rural areas,
data:saarland,Saarland,
data:saxony,Saxony,
data:saxony-anhalt,Saxony-Anhalt,
data:schleswig-holstein,Schleswig-Holstein,
data:schools with access to (%):,Schools with access to,
data:schools with access to:,Schools with access to,
data:sdg indicator 4-2-2,SDG indicator 4.2.2,
data:sdg indicator 4-3-1 (adults),SDG indicator 4.3.1 (adults),
data:sdg indicator 4-3-1 (youth),SDG indicator 4.3.1 (youth),
data:sea,Sea,
data:seats held by women in national parliament,Seats held by women in national parliament,
data:seats held by women in national parliament (%),Seats held by women in national parliament,
data:seats held by women in the parliament of (%):,Seats held by women in the parliament of:,
