key,en,de
global_indicators:16.1.4-title,Proportion of population that feel safe walking alone around the area they live,"Anteil der Bevölkerung, die sich in ihrem Wohngebiet alleine sicher fühlt"
global_indicators:16.10.1-title,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","Anzahl der bestätigten Fälle von Tötung, Entführung, erzwungenem Verschwinden, willkürlicher Inhaftierung und Folter von Journalisten, zugehörigem Medienpersonal, Gewerkschaftern und Menschenrechtsanwälten in den vergangenen 12&nbsp;Monaten"
global_indicators:16.10.2-title,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","Anzahl der Staaten, die verfassungsrechtliche, gesetzliche und/oder politische Garantieren für den öffentlichen Zugang zu Informationen verabschiedet und umgesetzt haben"
global_indicators:16.2.1-title,Proportion of children aged 1–17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,"Anteil der Kinder im Alter von 1-17&nbsp;Jahren, die im vergangenen Monat eine körperliche Strafe und/oder psychische Aggression durch Betreuungspersonen erfahren haben"
global_indicators:16.2.2-title,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","Anzahl der Opfer von Menschenhandel je 100&nbsp;000 Einwohner, nach Geschlecht, Alter und Art der Ausbeutung"
global_indicators:16.2.3-title,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 1,"Anteil der jungen Frauen und Männer im Alter von 18-29&nbsp;Jahren, die bis zum Alter von 18&nbsp;Jahren sexuelle Gewalt erlebt haben"
global_indicators:16.3.1-title,Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,"Anteil der Opfer von Gewalttaten in den vergangenen 12&nbsp;Monaten, die ihre Viktimisierung den zuständigen Behörden oder anderen offiziell anerkannten Stellen der Konfliktaufarbeitung gemeldet haben"
global_indicators:16.3.2-title,Unsentenced detainees as a proportion of overall prison population,Nicht-verurteilte Gefangene als Anteil an der gesamten Gefangenenpopulation
global_indicators:16.4.1-title,Total value of inward and outward illicit financial flows (in current United States dollars),Gesamtwert der ein- und ausgehenden illegalen Finanzströme (in aktuellen US-Dollar)
global_indicators:16.4.2-title,"Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments","Anteil der beschlagnahmten, aufgegriffenen oder abgegebenen Waffen, deren illegale Herkunft oder Verwendung von einer zuständigen Behörde in Übereinstimmung mit internationalen Methoden nachverfolgt oder festgestellt wurde"
global_indicators:16.5.1-title,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months","Anteil der Personen, die in den vergangenen 12&nbsp;Monaten mindestens einen Kontakt zu einem öffentlichen Bediensteten hatten und diesem ein Bestechungsgeld gezahlt haben oder von diesen um eine Bestechung gebeten wurden"
global_indicators:16.5.2-title,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months","Anteil der Unternehmen, die in den vergangenen 12&nbsp;Monaten mindestens einen Kontakt mit einem öffentlichen Bediensteten hatten und diesem ein Bestechungsgeld gezahlt haben oder von diesen um eine Bestechung gebeten wurden"
global_indicators:16.6.1-title,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)","Primärausgaben des Staates als Anteil am ursprünglich genehmigten Budget, nach Sektor (oder nach Haushaltscodes oder Ähnlichem)"
global_indicators:16.6.2-title,Proportion of population satisfied with their last experience of public services,"Anteil der Bevölkerung, die mit ihrer letzten Erfahrung mit öffentlichen Dienstleistungen zufrieden war"
global_indicators:16.7.1-title,"Proportions of positions (by sex, age, persons with disabilities and population groups) in public institutions (national and local legislatures, public service, and judiciary) compared to national distributions","Anteil der Stellen in nationalen und lokalen öffentlichen Institutionen einschließlich (a) der Gesetzgebung; (b) des öffentlichen Dienstes; und (c) der Judikativen, im Vergleich zu nationalen Verteilungen, nach Geschlecht, Alter, Menschen mit Behinderungen und Bevölkerungsgruppen"
global_indicators:16.7.2-title,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group","Anteil der Bevölkerung, die glaubt, dass die Entscheidungsfindung inklusiv und bedarfsgesteuert ist, nach Geschlecht, Alter, Behinderung und Bevölkerungsgruppe"
global_indicators:16.8.1-title,Proportion of members and voting rights of developing countries in international organizations,Anteil der Mitglieder und Stimmrechte von Entwicklungsländern in internationalen Organisationen
global_indicators:16.9.1-title,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","Anteil der Kinder unter 5&nbsp;Jahre, deren Geburt von einer Zivilbehörde registriert wurde, nach Alter"
global_indicators:16.a.1-title,Existence of independent national human rights institutions in compliance with the 'Paris Principles',Existenz von unabhängigen nationalen Menschenrechtsinstitutionen in Übereinstimmung mit den 'Pariser Grundsätzen'
global_indicators:16.b.1-title,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,"Anteil der Bevölkerung, die angibt sich in den vergangenen 12 Monaten persönlich auf Basis einer Diskriminierung, die nach internationalem Menschenrecht verboten ist, diskriminiert oder belästigt gefühlt zu haben"
global_indicators:17.1.1-title,"Total government revenue as a proportion of GDP, by source","Gesamte Staatseinnahmen als Anteil am BIP, nach Quelle"
global_indicators:17.1.2-title,Proportion of domestic budget funded by domestic taxes,"Anteil des Haushaltsbudgets, das durch inländische Steuern finanziert wird"
global_indicators:17.10.1-title,Worldwide weighted tariff-average,Weltweit gewichtete durchschnittliche Einfuhrzollsätze
global_indicators:17.11.1-title,Developing countries’ and least developed countries’ share of global exports,Anteil der Entwicklungsländer und der am wenigsten entwickelten Länder an den weltweiten Exporten
global_indicators:17.12.1-title,"Average tariffs faced by developing countries, least developed countries and small island developing States","Durchschnittliche Importzölle für Entwicklungsländer, am wenigsten entwickelte Länder und kleine Inselentwicklungsländer"
global_indicators:17.13.1-title,Macroeconomic Dashboard,Makroökonomisches Dashboard
global_indicators:17.14.1-title,Number of countries with mechanisms in place to enhance policy coherence of sustainable development,Anzahl der Staaten mit Mechanismen zur Verbesserung der Politikkohärenz bezogen auf nachhaltige Entwicklung
global_indicators:17.15.1-title,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,Umfang der Nutzung ländereigener Ergebnisrahmenwerke und Planungsinstrumente durch Geber von Entwicklungszusammenarbeit
global_indicators:17.16.1-title,Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,"Anzahl der Staaten, die Fortschritte bei der Kontrolle der Multi-Stakeholder-Entwicklungswirksamkeit, die das Erreichen der Ziele für nachhaltige Entwicklung unterstützen, berichten"
global_indicators:17.17.1-title,Amount of United States dollars committed to (a) public-private partnerships and (b) civil society partnerships,"Betrag an US-Dollar, der für (a) öffentlich-private Partnerschaften und (b) zivilgesellschaftliche Partnerschaften zugesagt wurde"
global_indicators:17.18.1-title,"Proportion of sustainable development indicators produced at the national level with full disaggregation when relevant to the target, in accordance with the Fundamental Principles of Official Statistics","Anteil der Nachhaltigkeitsindikatoren, die auf nationaler Ebene vollständig - sofern gemäß dem Unterziel relevant - disaggregiert sind, in Übereinstimmung mit den Grundprinzipien der amtlichen Statistik"
global_indicators:17.18.2-title,Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics,Anzahl der Staaten mit einer nationalen statistischen Gesetzgebung im Einklang mit den Grundprinzipien der amtlichen Statistik
global_indicators:17.18.3-title,"Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding","Anzahl der Staaten mit einem nationalen statistischen Plan, der vollständig finanziert ist und umgesetzt wird, nach Quelle der Finanzierung"
global_indicators:17.19.1-title,Dollar value of all resources made available to strengthen statistical capacity in developing countries,Dollar-Wert aller zur Verfügung gestellten Ressourcen zur Stärkung der statistischen Kapazität in Entwicklungsländern
